U+00D7	×	MULTIPLICATION SIGN
U+679D	枝	CJK UNIFIED IDEOGRAPH-679D
U+67C4	柄	CJK UNIFIED IDEOGRAPH-67C4
U+67D3	染	CJK UNIFIED IDEOGRAPH-67D3
U+67D4	柔	CJK UNIFIED IDEOGRAPH-67D4
U+67F1	柱	CJK UNIFIED IDEOGRAPH-67F1
U+6804	栄	CJK UNIFIED IDEOGRAPH-6804
U+6839	根	CJK UNIFIED IDEOGRAPH-6839
U+683C	格	CJK UNIFIED IDEOGRAPH-683C
U+6848	案	CJK UNIFIED IDEOGRAPH-6848
U+68C4	棄	CJK UNIFIED IDEOGRAPH-68C4
U+68D2	棒	CJK UNIFIED IDEOGRAPH-68D2
U+68EE	森	CJK UNIFIED IDEOGRAPH-68EE
U+691C	検	CJK UNIFIED IDEOGRAPH-691C
U+696D	業	CJK UNIFIED IDEOGRAPH-696D
U+6975	極	CJK UNIFIED IDEOGRAPH-6975
U+697D	楽	CJK UNIFIED IDEOGRAPH-697D
U+69CB	構	CJK UNIFIED IDEOGRAPH-69CB
U+69CD	槍	CJK UNIFIED IDEOGRAPH-69CD
U+69D8	様	CJK UNIFIED IDEOGRAPH-69D8
U+6A19	標	CJK UNIFIED IDEOGRAPH-6A19
U+6A21	模	CJK UNIFIED IDEOGRAPH-6A21
U+6A29	権	CJK UNIFIED IDEOGRAPH-6A29
U+6A2A	横	CJK UNIFIED IDEOGRAPH-6A2A
U+6A39	樹	CJK UNIFIED IDEOGRAPH-6A39
U+6A4B	橋	CJK UNIFIED IDEOGRAPH-6A4B
U+6A5F	機	CJK UNIFIED IDEOGRAPH-6A5F
U+6B20	欠	CJK UNIFIED IDEOGRAPH-6B20
U+6B21	次	CJK UNIFIED IDEOGRAPH-6B21
U+6B32	欲	CJK UNIFIED IDEOGRAPH-6B32
U+6B4C	歌	CJK UNIFIED IDEOGRAPH-6B4C
U+6B53	歓	CJK UNIFIED IDEOGRAPH-6B53
U+6B62	止	CJK UNIFIED IDEOGRAPH-6B62
U+6B63	正	CJK UNIFIED IDEOGRAPH-6B63
U+6B66	武	CJK UNIFIED IDEOGRAPH-6B66
U+6B69	歩	CJK UNIFIED IDEOGRAPH-6B69
U+6B6A	歪	CJK UNIFIED IDEOGRAPH-6B6A
U+6B6F	歯	CJK UNIFIED IDEOGRAPH-6B6F
U+6B73	歳	CJK UNIFIED IDEOGRAPH-6B73
U+6B74	歴	CJK UNIFIED IDEOGRAPH-6B74
U+6B7B	死	CJK UNIFIED IDEOGRAPH-6B7B
U+6B8A	殊	CJK UNIFIED IDEOGRAPH-6B8A
U+6B8B	残	CJK UNIFIED IDEOGRAPH-6B8B
U+6BB5	段	CJK UNIFIED IDEOGRAPH-6BB5
U+6BBA	殺	CJK UNIFIED IDEOGRAPH-6BBA
U+6BBB	殻	CJK UNIFIED IDEOGRAPH-6BBB
U+6BBF	殿	CJK UNIFIED IDEOGRAPH-6BBF
U+6BCD	母	CJK UNIFIED IDEOGRAPH-6BCD
U+6BCE	毎	CJK UNIFIED IDEOGRAPH-6BCE
U+6BD2	毒	CJK UNIFIED IDEOGRAPH-6BD2
U+6BD4	比	CJK UNIFIED IDEOGRAPH-6BD4
U+6BDB	毛	CJK UNIFIED IDEOGRAPH-6BDB
U+6C11	民	CJK UNIFIED IDEOGRAPH-6C11
U+6C17	気	CJK UNIFIED IDEOGRAPH-6C17
U+6C34	水	CJK UNIFIED IDEOGRAPH-6C34
U+6C37	氷	CJK UNIFIED IDEOGRAPH-6C37
U+6C38	永	CJK UNIFIED IDEOGRAPH-6C38
U+6C42	求	CJK UNIFIED IDEOGRAPH-6C42
U+6C4E	汎	CJK UNIFIED IDEOGRAPH-6C4E
U+6C57	汗	CJK UNIFIED IDEOGRAPH-6C57
U+6C5A	汚	CJK UNIFIED IDEOGRAPH-6C5A
U+6C7A	決	CJK UNIFIED IDEOGRAPH-6C7A
U+6C88	沈	CJK UNIFIED IDEOGRAPH-6C88
U+6C8C	沌	CJK UNIFIED IDEOGRAPH-6C8C
U+6C99	沙	CJK UNIFIED IDEOGRAPH-6C99
U+6CA1	没	CJK UNIFIED IDEOGRAPH-6CA1
U+6CA2	沢	CJK UNIFIED IDEOGRAPH-6CA2
U+6CB3	河	CJK UNIFIED IDEOGRAPH-6CB3
U+6CB8	沸	CJK UNIFIED IDEOGRAPH-6CB8
U+6CB9	油	CJK UNIFIED IDEOGRAPH-6CB9
U+6CBB	治	CJK UNIFIED IDEOGRAPH-6CBB
U+6CBC	沼	CJK UNIFIED IDEOGRAPH-6CBC
U+6CBF	沿	CJK UNIFIED IDEOGRAPH-6CBF
U+6CC1	況	CJK UNIFIED IDEOGRAPH-6CC1
U+6CC9	泉	CJK UNIFIED IDEOGRAPH-6CC9
U+6CCA	泊	CJK UNIFIED IDEOGRAPH-6CCA
U+6CD5	法	CJK UNIFIED IDEOGRAPH-6CD5
U+6CE1	泡	CJK UNIFIED IDEOGRAPH-6CE1
U+6CE2	波	CJK UNIFIED IDEOGRAPH-6CE2
U+6CE3	泣	CJK UNIFIED IDEOGRAPH-6CE3
U+6CE5	泥	CJK UNIFIED IDEOGRAPH-6CE5
U+6CE8	注	CJK UNIFIED IDEOGRAPH-6CE8
U+6CF0	泰	CJK UNIFIED IDEOGRAPH-6CF0
U+6CF3	泳	CJK UNIFIED IDEOGRAPH-6CF3
U+6D17	洗	CJK UNIFIED IDEOGRAPH-6D17
U+6D3B	活	CJK UNIFIED IDEOGRAPH-6D3B
U+6D3E	派	CJK UNIFIED IDEOGRAPH-6D3E
U+6D41	流	CJK UNIFIED IDEOGRAPH-6D41
U+6D44	浄	CJK UNIFIED IDEOGRAPH-6D44
U+6D45	浅	CJK UNIFIED IDEOGRAPH-6D45
U+6D6A	浪	CJK UNIFIED IDEOGRAPH-6D6A
U+6D6E	浮	CJK UNIFIED IDEOGRAPH-6D6E
U+6D74	浴	CJK UNIFIED IDEOGRAPH-6D74
U+6D77	海	CJK UNIFIED IDEOGRAPH-6D77
U+6D78	浸	CJK UNIFIED IDEOGRAPH-6D78
U+6D88	消	CJK UNIFIED IDEOGRAPH-6D88
U+6D99	涙	CJK UNIFIED IDEOGRAPH-6D99
U+6D9C	涜	CJK UNIFIED IDEOGRAPH-6D9C
U+6DAF	涯	CJK UNIFIED IDEOGRAPH-6DAF
U+6DB2	液	CJK UNIFIED IDEOGRAPH-6DB2
U+6DCB	淋	CJK UNIFIED IDEOGRAPH-6DCB
U+6DE1	淡	CJK UNIFIED IDEOGRAPH-6DE1
U+6DF1	深	CJK UNIFIED IDEOGRAPH-6DF1
U+6DF5	淵	CJK UNIFIED IDEOGRAPH-6DF5
U+6DF7	混	CJK UNIFIED IDEOGRAPH-6DF7
U+6DFB	添	CJK UNIFIED IDEOGRAPH-6DFB
U+6E05	清	CJK UNIFIED IDEOGRAPH-6E05
U+6E07	渇	CJK UNIFIED IDEOGRAPH-6E07
U+6E08	済	CJK UNIFIED IDEOGRAPH-6E08
U+6E09	渉	CJK UNIFIED IDEOGRAPH-6E09
U+6E13	渓	CJK UNIFIED IDEOGRAPH-6E13
U+6E1B	減	CJK UNIFIED IDEOGRAPH-6E1B
U+6E21	渡	CJK UNIFIED IDEOGRAPH-6E21
U+6E26	渦	CJK UNIFIED IDEOGRAPH-6E26
U+6E29	温	CJK UNIFIED IDEOGRAPH-6E29
U+6E2C	測	CJK UNIFIED IDEOGRAPH-6E2C
U+6E2F	港	CJK UNIFIED IDEOGRAPH-6E2F
U+6E56	湖	CJK UNIFIED IDEOGRAPH-6E56
U+6E67	湧	CJK UNIFIED IDEOGRAPH-6E67
U+6E7F	湿	CJK UNIFIED IDEOGRAPH-6E7F
U+6E80	満	CJK UNIFIED IDEOGRAPH-6E80
U+6E90	源	CJK UNIFIED IDEOGRAPH-6E90
U+6E96	準	CJK UNIFIED IDEOGRAPH-6E96
U+6EBA	溺	CJK UNIFIED IDEOGRAPH-6EBA
U+6EC5	滅	CJK UNIFIED IDEOGRAPH-6EC5
U+6ED1	滑	CJK UNIFIED IDEOGRAPH-6ED1
U+6EDE	滞	CJK UNIFIED IDEOGRAPH-6EDE
U+6EF4	滴	CJK UNIFIED IDEOGRAPH-6EF4
U+6F01	漁	CJK UNIFIED IDEOGRAPH-6F01
U+6F02	漂	CJK UNIFIED IDEOGRAPH-6F02
U+6F06	漆	CJK UNIFIED IDEOGRAPH-6F06
U+6F14	演	CJK UNIFIED IDEOGRAPH-6F14
U+6F20	漠	CJK UNIFIED IDEOGRAPH-6F20
U+6F54	潔	CJK UNIFIED IDEOGRAPH-6F54
U+6F5C	潜	CJK UNIFIED IDEOGRAPH-6F5C
U+6F6E	潮	CJK UNIFIED IDEOGRAPH-6F6E
U+6F70	潰	CJK UNIFIED IDEOGRAPH-6F70
U+6F84	澄	CJK UNIFIED IDEOGRAPH-6F84
U+6FC0	激	CJK UNIFIED IDEOGRAPH-6FC0
U+6FC3	濃	CJK UNIFIED IDEOGRAPH-6FC3
U+6FD8	濘	CJK UNIFIED IDEOGRAPH-6FD8
U+6FE1	濡	CJK UNIFIED IDEOGRAPH-6FE1
U+706B	火	CJK UNIFIED IDEOGRAPH-706B
U+7070	灰	CJK UNIFIED IDEOGRAPH-7070
U+707C	灼	CJK UNIFIED IDEOGRAPH-707C
U+707D	災	CJK UNIFIED IDEOGRAPH-707D
U+708E	炎	CJK UNIFIED IDEOGRAPH-708E
U+7092	炒	CJK UNIFIED IDEOGRAPH-7092
U+70AD	炭	CJK UNIFIED IDEOGRAPH-70AD
U+70B9	点	CJK UNIFIED IDEOGRAPH-70B9
U+70BA	為	CJK UNIFIED IDEOGRAPH-70BA
U+70C8	烈	CJK UNIFIED IDEOGRAPH-70C8
U+7121	無	CJK UNIFIED IDEOGRAPH-7121
U+7126	焦	CJK UNIFIED IDEOGRAPH-7126
U+7136	然	CJK UNIFIED IDEOGRAPH-7136
U+713C	焼	CJK UNIFIED IDEOGRAPH-713C
U+7159	煙	CJK UNIFIED IDEOGRAPH-7159
U+7167	照	CJK UNIFIED IDEOGRAPH-7167
U+719F	熟	CJK UNIFIED IDEOGRAPH-719F
U+71B1	熱	CJK UNIFIED IDEOGRAPH-71B1
U+71C3	燃	CJK UNIFIED IDEOGRAPH-71C3
U+71E5	燥	CJK UNIFIED IDEOGRAPH-71E5
U+7206	爆	CJK UNIFIED IDEOGRAPH-7206
U+722A	爪	CJK UNIFIED IDEOGRAPH-722A
U+7236	父	CJK UNIFIED IDEOGRAPH-7236
U+723D	爽	CJK UNIFIED IDEOGRAPH-723D
U+7247	片	CJK UNIFIED IDEOGRAPH-7247
U+7248	版	CJK UNIFIED IDEOGRAPH-7248
U+7259	牙	CJK UNIFIED IDEOGRAPH-7259
U+725B	牛	CJK UNIFIED IDEOGRAPH-725B
U+7262	牢	CJK UNIFIED IDEOGRAPH-7262
U+7267	牧	CJK UNIFIED IDEOGRAPH-7267
U+7269	物	CJK UNIFIED IDEOGRAPH-7269
U+7272	牲	CJK UNIFIED IDEOGRAPH-7272
U+7279	特	CJK UNIFIED IDEOGRAPH-7279
U+72A0	犠	CJK UNIFIED IDEOGRAPH-72A0
U+72AC	犬	CJK UNIFIED IDEOGRAPH-72AC
U+72AF	犯	CJK UNIFIED IDEOGRAPH-72AF
U+72B6	状	CJK UNIFIED IDEOGRAPH-72B6
U+72C2	狂	CJK UNIFIED IDEOGRAPH-72C2
U+72D9	狙	CJK UNIFIED IDEOGRAPH-72D9
U+72E9	狩	CJK UNIFIED IDEOGRAPH-72E9
U+72EC	独	CJK UNIFIED IDEOGRAPH-72EC
U+72ED	狭	CJK UNIFIED IDEOGRAPH-72ED
U+72FC	狼	CJK UNIFIED IDEOGRAPH-72FC
U+731B	猛	CJK UNIFIED IDEOGRAPH-731B
U+731F	猟	CJK UNIFIED IDEOGRAPH-731F
U+732B	猫	CJK UNIFIED IDEOGRAPH-732B
U+732E	献	CJK UNIFIED IDEOGRAPH-732E
U+7336	猶	CJK UNIFIED IDEOGRAPH-7336
U+7344	獄	CJK UNIFIED IDEOGRAPH-7344
U+7363	獣	CJK UNIFIED IDEOGRAPH-7363
U+7372	獲	CJK UNIFIED IDEOGRAPH-7372
U+7387	率	CJK UNIFIED IDEOGRAPH-7387
U+7389	玉	CJK UNIFIED IDEOGRAPH-7389
U+738B	王	CJK UNIFIED IDEOGRAPH-738B
U+73CD	珍	CJK UNIFIED IDEOGRAPH-73CD
U+73FE	現	CJK UNIFIED IDEOGRAPH-73FE
U+7406	理	CJK UNIFIED IDEOGRAPH-7406
U+74A7	璧	CJK UNIFIED IDEOGRAPH-74A7
U+7518	甘	CJK UNIFIED IDEOGRAPH-7518
U+751F	生	CJK UNIFIED IDEOGRAPH-751F
U+7523	産	CJK UNIFIED IDEOGRAPH-7523
U+7526	甦	CJK UNIFIED IDEOGRAPH-7526
U+7528	用	CJK UNIFIED IDEOGRAPH-7528
U+7530	田	CJK UNIFIED IDEOGRAPH-7530
U+7531	由	CJK UNIFIED IDEOGRAPH-7531
U+7532	甲	CJK UNIFIED IDEOGRAPH-7532
U+7533	申	CJK UNIFIED IDEOGRAPH-7533
U+7537	男	CJK UNIFIED IDEOGRAPH-7537
U+753A	町	CJK UNIFIED IDEOGRAPH-753A
U+753B	画	CJK UNIFIED IDEOGRAPH-753B
U+754C	界	CJK UNIFIED IDEOGRAPH-754C
U+7551	畑	CJK UNIFIED IDEOGRAPH-7551
U+7559	留	CJK UNIFIED IDEOGRAPH-7559
U+7565	略	CJK UNIFIED IDEOGRAPH-7565
U+756A	番	CJK UNIFIED IDEOGRAPH-756A
U+7570	異	CJK UNIFIED IDEOGRAPH-7570
U+7591	疑	CJK UNIFIED IDEOGRAPH-7591
U+75AB	疫	CJK UNIFIED IDEOGRAPH-75AB
U+75B2	疲	CJK UNIFIED IDEOGRAPH-75B2
U+75BE	疾	CJK UNIFIED IDEOGRAPH-75BE
U+75C5	病	CJK UNIFIED IDEOGRAPH-75C5
U+75DB	痛	CJK UNIFIED IDEOGRAPH-75DB
U+75F4	痴	CJK UNIFIED IDEOGRAPH-75F4
U+7634	瘴	CJK UNIFIED IDEOGRAPH-7634
U+7642	療	CJK UNIFIED IDEOGRAPH-7642
U+7652	癒	CJK UNIFIED IDEOGRAPH-7652
U+7656	癖	CJK UNIFIED IDEOGRAPH-7656
U+767A	発	CJK UNIFIED IDEOGRAPH-767A
U+767B	登	CJK UNIFIED IDEOGRAPH-767B
U+767D	白	CJK UNIFIED IDEOGRAPH-767D
U+767E	百	CJK UNIFIED IDEOGRAPH-767E
U+7684	的	CJK UNIFIED IDEOGRAPH-7684
U+7686	皆	CJK UNIFIED IDEOGRAPH-7686
U+7687	皇	CJK UNIFIED IDEOGRAPH-7687
U+76AE	皮	CJK UNIFIED IDEOGRAPH-76AE
U+76BF	皿	CJK UNIFIED IDEOGRAPH-76BF
U+76CA	益	CJK UNIFIED IDEOGRAPH-76CA
U+76D7	盗	CJK UNIFIED IDEOGRAPH-76D7
U+76DB	盛	CJK UNIFIED IDEOGRAPH-76DB
U+76DF	盟	CJK UNIFIED IDEOGRAPH-76DF
U+76E4	盤	CJK UNIFIED IDEOGRAPH-76E4
U+76EE	目	CJK UNIFIED IDEOGRAPH-76EE
U+76F4	直	CJK UNIFIED IDEOGRAPH-76F4
U+76F8	相	CJK UNIFIED IDEOGRAPH-76F8
U+76FE	盾	CJK UNIFIED IDEOGRAPH-76FE
U+7701	省	CJK UNIFIED IDEOGRAPH-7701
U+771F	真	CJK UNIFIED IDEOGRAPH-771F
U+7720	眠	CJK UNIFIED IDEOGRAPH-7720
U+7729	眩	CJK UNIFIED IDEOGRAPH-7729
U+773C	眼	CJK UNIFIED IDEOGRAPH-773C
U+7740	着	CJK UNIFIED IDEOGRAPH-7740
U+7761	睡	CJK UNIFIED IDEOGRAPH-7761
U+77AC	瞬	CJK UNIFIED IDEOGRAPH-77AC
U+77E2	矢	CJK UNIFIED IDEOGRAPH-77E2
U+77E5	知	CJK UNIFIED IDEOGRAPH-77E5
U+77ED	短	CJK UNIFIED IDEOGRAPH-77ED
U+77F3	石	CJK UNIFIED IDEOGRAPH-77F3
U+7802	砂	CJK UNIFIED IDEOGRAPH-7802
U+7814	研	CJK UNIFIED IDEOGRAPH-7814
U+7815	砕	CJK UNIFIED IDEOGRAPH-7815
U+7826	砦	CJK UNIFIED IDEOGRAPH-7826
U+7832	砲	CJK UNIFIED IDEOGRAPH-7832
U+7834	破	CJK UNIFIED IDEOGRAPH-7834
U+786B	硫	CJK UNIFIED IDEOGRAPH-786B
U+78A7	碧	CJK UNIFIED IDEOGRAPH-78A7
U+78BA	確	CJK UNIFIED IDEOGRAPH-78BA
U+78E8	磨	CJK UNIFIED IDEOGRAPH-78E8
U+790E	礎	CJK UNIFIED IDEOGRAPH-790E
U+793A	示	CJK UNIFIED IDEOGRAPH-793A
U+793C	礼	CJK UNIFIED IDEOGRAPH-793C
U+7948	祈	CJK UNIFIED IDEOGRAPH-7948
U+7956	祖	CJK UNIFIED IDEOGRAPH-7956
U+795D	祝	CJK UNIFIED IDEOGRAPH-795D
U+795E	神	CJK UNIFIED IDEOGRAPH-795E
U+796D	祭	CJK UNIFIED IDEOGRAPH-796D
U+7981	禁	CJK UNIFIED IDEOGRAPH-7981
U+7984	禄	CJK UNIFIED IDEOGRAPH-7984
U+798F	福	CJK UNIFIED IDEOGRAPH-798F
U+79C0	秀	CJK UNIFIED IDEOGRAPH-79C0
U+79C1	私	CJK UNIFIED IDEOGRAPH-79C1
U+79D1	科	CJK UNIFIED IDEOGRAPH-79D1
U+79D8	秘	CJK UNIFIED IDEOGRAPH-79D8
U+79E4	秤	CJK UNIFIED IDEOGRAPH-79E4
U+79E9	秩	CJK UNIFIED IDEOGRAPH-79E9
U+79F0	称	CJK UNIFIED IDEOGRAPH-79F0
U+79FB	移	CJK UNIFIED IDEOGRAPH-79FB
U+7A00	稀	CJK UNIFIED IDEOGRAPH-7A00
U+7A0B	程	CJK UNIFIED IDEOGRAPH-7A0B
U+7A0E	税	CJK UNIFIED IDEOGRAPH-7A0E
U+7A1A	稚	CJK UNIFIED IDEOGRAPH-7A1A
U+7A2E	種	CJK UNIFIED IDEOGRAPH-7A2E
U+7A3C	稼	CJK UNIFIED IDEOGRAPH-7A3C
U+7A3D	稽	CJK UNIFIED IDEOGRAPH-7A3D
U+7A4D	積	CJK UNIFIED IDEOGRAPH-7A4D
U+7A4F	穏	CJK UNIFIED IDEOGRAPH-7A4F
U+7A74	穴	CJK UNIFIED IDEOGRAPH-7A74
U+7A76	究	CJK UNIFIED IDEOGRAPH-7A76
U+7A7A	空	CJK UNIFIED IDEOGRAPH-7A7A
U+7A7D	穽	CJK UNIFIED IDEOGRAPH-7A7D
U+7A81	突	CJK UNIFIED IDEOGRAPH-7A81
U+7AAE	窮	CJK UNIFIED IDEOGRAPH-7AAE
U+7ACB	立	CJK UNIFIED IDEOGRAPH-7ACB
U+7ADC	竜	CJK UNIFIED IDEOGRAPH-7ADC
U+7AE0	章	CJK UNIFIED IDEOGRAPH-7AE0
U+7AEF	端	CJK UNIFIED IDEOGRAPH-7AEF
U+7AF6	競	CJK UNIFIED IDEOGRAPH-7AF6
U+7B11	笑	CJK UNIFIED IDEOGRAPH-7B11
U+7B1B	笛	CJK UNIFIED IDEOGRAPH-7B1B
U+7B2C	第	CJK UNIFIED IDEOGRAPH-7B2C
U+7B49	等	CJK UNIFIED IDEOGRAPH-7B49
U+7B4B	筋	CJK UNIFIED IDEOGRAPH-7B4B
U+7B52	筒	CJK UNIFIED IDEOGRAPH-7B52
U+7B54	答	CJK UNIFIED IDEOGRAPH-7B54
U+7B56	策	CJK UNIFIED IDEOGRAPH-7B56
U+7B97	算	CJK UNIFIED IDEOGRAPH-7B97
U+7BA1	管	CJK UNIFIED IDEOGRAPH-7BA1
U+7BB1	箱	CJK UNIFIED IDEOGRAPH-7BB1
U+7BC0	節	CJK UNIFIED IDEOGRAPH-7BC0
U+7BC4	範	CJK UNIFIED IDEOGRAPH-7BC4
U+7BC9	築	CJK UNIFIED IDEOGRAPH-7BC9
U+7BED	篭	CJK UNIFIED IDEOGRAPH-7BED
U+7C21	簡	CJK UNIFIED IDEOGRAPH-7C21
U+7C73	米	CJK UNIFIED IDEOGRAPH-7C73
U+7C89	粉	CJK UNIFIED IDEOGRAPH-7C89
U+7C8B	粋	CJK UNIFIED IDEOGRAPH-7C8B
U+7C92	粒	CJK UNIFIED IDEOGRAPH-7C92
U+7C97	粗	CJK UNIFIED IDEOGRAPH-7C97
U+7C98	粘	CJK UNIFIED IDEOGRAPH-7C98
U+7C9B	粛	CJK UNIFIED IDEOGRAPH-7C9B
U+7CBE	精	CJK UNIFIED IDEOGRAPH-7CBE
U+7CD6	糖	CJK UNIFIED IDEOGRAPH-7CD6
U+7CE7	糧	CJK UNIFIED IDEOGRAPH-7CE7
U+7CF8	糸	CJK UNIFIED IDEOGRAPH-7CF8
U+7CFB	系	CJK UNIFIED IDEOGRAPH-7CFB
U+7D04	約	CJK UNIFIED IDEOGRAPH-7D04
U+7D05	紅	CJK UNIFIED IDEOGRAPH-7D05
U+7D0B	紋	CJK UNIFIED IDEOGRAPH-7D0B
U+7D0D	納	CJK UNIFIED IDEOGRAPH-7D0D
U+7D14	純	CJK UNIFIED IDEOGRAPH-7D14
U+7D19	紙	CJK UNIFIED IDEOGRAPH-7D19
U+7D1A	級	CJK UNIFIED IDEOGRAPH-7D1A
U+7D1B	紛	CJK UNIFIED IDEOGRAPH-7D1B
U+7D20	素	CJK UNIFIED IDEOGRAPH-7D20
U+7D22	索	CJK UNIFIED IDEOGRAPH-7D22
U+7D30	細	CJK UNIFIED IDEOGRAPH-7D30
U+7D39	紹	CJK UNIFIED IDEOGRAPH-7D39
U+7D42	終	CJK UNIFIED IDEOGRAPH-7D42
U+7D44	組	CJK UNIFIED IDEOGRAPH-7D44
U+7D46	絆	CJK UNIFIED IDEOGRAPH-7D46
U+7D4C	経	CJK UNIFIED IDEOGRAPH-7D4C
U+7D50	結	CJK UNIFIED IDEOGRAPH-7D50
U+7D61	絡	CJK UNIFIED IDEOGRAPH-7D61
U+7D66	給	CJK UNIFIED IDEOGRAPH-7D66
U+7D71	統	CJK UNIFIED IDEOGRAPH-7D71
U+7D75	絵	CJK UNIFIED IDEOGRAPH-7D75
U+7D76	絶	CJK UNIFIED IDEOGRAPH-7D76
U+7D79	絹	CJK UNIFIED IDEOGRAPH-7D79
U+7D99	継	CJK UNIFIED IDEOGRAPH-7D99
U+7D9A	続	CJK UNIFIED IDEOGRAPH-7D9A
U+7DB2	網	CJK UNIFIED IDEOGRAPH-7DB2
U+7DBA	綺	CJK UNIFIED IDEOGRAPH-7DBA
U+7DCA	緊	CJK UNIFIED IDEOGRAPH-7DCA
U+7DCB	緋	CJK UNIFIED IDEOGRAPH-7DCB
U+7DCF	総	CJK UNIFIED IDEOGRAPH-7DCF
U+7DD1	緑	CJK UNIFIED IDEOGRAPH-7DD1
U+7DD2	緒	CJK UNIFIED IDEOGRAPH-7DD2
U+7DDA	線	CJK UNIFIED IDEOGRAPH-7DDA
U+7DE0	締	CJK UNIFIED IDEOGRAPH-7DE0
U+7DE8	編	CJK UNIFIED IDEOGRAPH-7DE8
U+7DE9	緩	CJK UNIFIED IDEOGRAPH-7DE9
U+7DF4	練	CJK UNIFIED IDEOGRAPH-7DF4
U+7E01	縁	CJK UNIFIED IDEOGRAPH-7E01
U+7E04	縄	CJK UNIFIED IDEOGRAPH-7E04
U+7E1B	縛	CJK UNIFIED IDEOGRAPH-7E1B
U+7E2E	縮	CJK UNIFIED IDEOGRAPH-7E2E
U+7E3E	績	CJK UNIFIED IDEOGRAPH-7E3E
U+7E41	繁	CJK UNIFIED IDEOGRAPH-7E41
U+7E4A	繊	CJK UNIFIED IDEOGRAPH-7E4A
U+7E4B	繋	CJK UNIFIED IDEOGRAPH-7E4B
U+7E54	織	CJK UNIFIED IDEOGRAPH-7E54
U+7E70	繰	CJK UNIFIED IDEOGRAPH-7E70
U+7F60	罠	CJK UNIFIED IDEOGRAPH-7F60
U+7F6A	罪	CJK UNIFIED IDEOGRAPH-7F6A
U+7F6E	置	CJK UNIFIED IDEOGRAPH-7F6E
U+7F70	罰	CJK UNIFIED IDEOGRAPH-7F70
U+7F85	羅	CJK UNIFIED IDEOGRAPH-7F85
U+7F8A	羊	CJK UNIFIED IDEOGRAPH-7F8A
U+7F8E	美	CJK UNIFIED IDEOGRAPH-7F8E
U+7FA4	群	CJK UNIFIED IDEOGRAPH-7FA4
U+7FA8	羨	CJK UNIFIED IDEOGRAPH-7FA8
U+7FA9	義	CJK UNIFIED IDEOGRAPH-7FA9
U+7FBD	羽	CJK UNIFIED IDEOGRAPH-7FBD
U+7FCC	翌	CJK UNIFIED IDEOGRAPH-7FCC
U+7FD2	習	CJK UNIFIED IDEOGRAPH-7FD2
U+7FFC	翼	CJK UNIFIED IDEOGRAPH-7FFC
U+8001	老	CJK UNIFIED IDEOGRAPH-8001
U+8003	考	CJK UNIFIED IDEOGRAPH-8003
U+8005	者	CJK UNIFIED IDEOGRAPH-8005
U+8010	耐	CJK UNIFIED IDEOGRAPH-8010
U+8017	耗	CJK UNIFIED IDEOGRAPH-8017
U+8033	耳	CJK UNIFIED IDEOGRAPH-8033
U+8056	聖	CJK UNIFIED IDEOGRAPH-8056
U+805E	聞	CJK UNIFIED IDEOGRAPH-805E
U+8061	聡	CJK UNIFIED IDEOGRAPH-8061
U+8074	聴	CJK UNIFIED IDEOGRAPH-8074
U+8077	職	CJK UNIFIED IDEOGRAPH-8077
U+8089	肉	CJK UNIFIED IDEOGRAPH-8089
U+808C	肌	CJK UNIFIED IDEOGRAPH-808C
U+809D	肝	CJK UNIFIED IDEOGRAPH-809D
U+80A2	肢	CJK UNIFIED IDEOGRAPH-80A2
U+80A9	肩	CJK UNIFIED IDEOGRAPH-80A9
U+80AF	肯	CJK UNIFIED IDEOGRAPH-80AF
U+80B2	育	CJK UNIFIED IDEOGRAPH-80B2
U+80B4	肴	CJK UNIFIED IDEOGRAPH-80B4
U+80C6	胆	CJK UNIFIED IDEOGRAPH-80C6
U+80CC	背	CJK UNIFIED IDEOGRAPH-80CC
U+80F8	胸	CJK UNIFIED IDEOGRAPH-80F8
U+80FD	能	CJK UNIFIED IDEOGRAPH-80FD
U+8105	脅	CJK UNIFIED IDEOGRAPH-8105
U+8106	脆	CJK UNIFIED IDEOGRAPH-8106
U+8107	脇	CJK UNIFIED IDEOGRAPH-8107
U+8108	脈	CJK UNIFIED IDEOGRAPH-8108
U+8131	脱	CJK UNIFIED IDEOGRAPH-8131
U+8150	腐	CJK UNIFIED IDEOGRAPH-8150
U+8155	腕	CJK UNIFIED IDEOGRAPH-8155
U+8170	腰	CJK UNIFIED IDEOGRAPH-8170
U+8179	腹	CJK UNIFIED IDEOGRAPH-8179
U+817A	腺	CJK UNIFIED IDEOGRAPH-817A
U+81C6	臆	CJK UNIFIED IDEOGRAPH-81C6
U+81D3	臓	CJK UNIFIED IDEOGRAPH-81D3
U+81E3	臣	CJK UNIFIED IDEOGRAPH-81E3
U+81E8	臨	CJK UNIFIED IDEOGRAPH-81E8
U+81EA	自	CJK UNIFIED IDEOGRAPH-81EA
U+81ED	臭	CJK UNIFIED IDEOGRAPH-81ED
U+81F3	至	CJK UNIFIED IDEOGRAPH-81F3
U+81F4	致	CJK UNIFIED IDEOGRAPH-81F4
U+8208	興	CJK UNIFIED IDEOGRAPH-8208
U+820C	舌	CJK UNIFIED IDEOGRAPH-820C
U+820E	舎	CJK UNIFIED IDEOGRAPH-820E
U+821E	舞	CJK UNIFIED IDEOGRAPH-821E
U+822A	航	CJK UNIFIED IDEOGRAPH-822A
